                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7908,                 4.5002,                 4.2856,                0.00078,                0.23206,                0.00069,                0.00016,                 4.0164,                 5.1019,                 4.1528,                 0.0005,                 0.0005,                 0.0005
                      2,                 3.3129,                 3.7891,                 3.8797,                0.00043,                0.12679,                0.00033,                  8e-05,                 4.0964,                 4.6762,                 4.2418,              0.0010099,              0.0010099,              0.0010099
                      3,                 2.9354,                 3.1487,                 3.4214,                0.00123,                0.13397,                0.00077,                 0.0002,                 3.6421,                 4.4291,                 3.9258,              0.0015095,              0.0015095,              0.0015095
                      4,                 2.7239,                 2.9362,                 3.2799,                0.17118,                0.16986,                0.07612,                0.02154,                  2.811,                 3.6247,                 3.3366,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6123,                 2.7851,                  3.085,                0.17186,                0.25598,                0.09055,                0.02129,                 2.7723,                 3.3143,                 4.5697,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.4415,                  2.595,                 2.9759,                0.24967,                0.32536,                0.20563,                0.06938,                   2.45,                 8.1043,                 3.1856,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.4207,                 2.3674,                 2.8804,                0.30973,                0.48565,                0.37646,                0.13639,                  2.265,                 5.4279,                 2.8059,               0.001901,               0.001901,               0.001901
                      8,                 2.3311,                 2.1685,                 2.8001,                0.46898,                0.58104,                0.48959,                0.14809,                 2.2556,                  2.636,                 2.9172,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.3163,                   2.13,                 2.7784,                0.37482,                0.55981,                0.34133,                0.13147,                 2.0344,                  3.432,                 2.6216,              0.0018614,              0.0018614,              0.0018614
                     10,                  2.235,                 2.0015,                 2.7049,                0.60851,                0.52871,                0.61357,                 0.2596,                 1.9005,                 2.3234,                 2.4696,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.1391,                 1.8775,                 2.6252,                 0.5799,                0.44583,                 0.5355,                0.23554,                 1.9351,                 2.2844,                 2.6184,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0675,                 1.8852,                 2.5491,                0.54061,                0.47847,                0.52078,                0.22843,                 1.8878,                 2.8253,                  2.461,               0.001802,               0.001802,               0.001802
                     13,                  2.082,                 1.8141,                 2.5625,                0.63427,                0.62201,                0.68118,                0.29442,                 1.8611,                 2.5959,                 2.5626,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.999,                 1.6946,                 2.5029,                0.76107,                0.72488,                  0.813,                0.38343,                 1.7421,                 2.0444,                 2.3191,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0219,                  1.679,                 2.4886,                 0.7797,                0.73923,                 0.8248,                0.41185,                 1.7566,                 1.5647,                 2.4018,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.9515,                  1.647,                 2.4625,                0.70761,                 0.5311,                0.62694,                0.29747,                 1.9014,                 1.9284,                 2.5511,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.9074,                 1.5396,                 2.3816,                0.84797,                0.74727,                0.83356,                0.43891,                 1.7047,                 1.6118,                 2.3312,               0.001703,               0.001703,               0.001703
                     18,                 1.8054,                  1.475,                  2.332,                 0.8184,                0.75468,                0.86765,                0.49703,                 1.5701,                 1.5089,                 2.2038,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.7836,                  1.445,                 2.3141,                0.82582,                0.75995,                0.85234,                0.48305,                 1.5965,                 1.4773,                 2.2184,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.7794,                 1.4265,                 2.2538,                 0.8509,                 0.7823,                0.85836,                0.45249,                 1.6665,                 1.4514,                 2.3248,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.7364,                  1.335,                 2.2466,                0.79104,                 0.7512,                0.84508,                0.46686,                 1.5741,                  1.874,                 2.1737,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.7294,                 1.4063,                 2.2224,                 0.8747,                0.79665,                0.90199,                 0.5553,                 1.4206,                 1.2649,                 2.0748,               0.001604,               0.001604,               0.001604
                     23,                 1.6261,                 1.2988,                  2.184,                0.85639,                0.80861,                 0.9111,                0.50922,                 1.5482,                  1.326,                  2.107,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.6947,                 1.3628,                 2.1817,                0.81739,                0.75837,                0.85242,                  0.478,                 1.5622,                 1.8272,                 2.1672,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.6632,                 1.3131,                 2.1791,                0.78716,                0.66507,                0.74677,                0.35416,                 1.8154,                 1.6874,                 2.3911,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.6362,                 1.3226,                 2.1531,                0.85606,                0.85368,                0.90867,                0.56063,                 1.3216,                 1.2939,                 1.9404,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.5566,                 1.2069,                 2.0668,                0.93293,                0.83199,                0.92452,                0.54847,                 1.4169,                 1.2167,                 1.9747,               0.001505,               0.001505,               0.001505
                     28,                 1.5376,                 1.1645,                 2.0202,                0.91125,                0.84689,                0.93124,                0.61955,                 1.2257,                 1.1601,                 1.8745,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.5159,                 1.2245,                 2.0496,                0.91298,                0.84928,                0.94104,                0.60582,                  1.276,                 1.1156,                 1.8619,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4562,                 1.0832,                 1.9626,                0.85628,                0.76077,                0.87622,                0.55115,                 1.3778,                 1.2584,                 1.9473,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4603,                 1.1553,                 1.9734,                 0.8673,                0.82873,                 0.9077,                0.55984,                 1.3617,                 1.1921,                 1.9647,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4406,                 1.1693,                  1.971,                0.88381,                 0.8371,                0.93191,                0.60358,                 1.2261,                  1.216,                 1.7893,               0.001406,               0.001406,               0.001406
                     33,                 1.4288,                 1.0523,                 1.9136,                0.88213,                0.88038,                  0.933,                0.61266,                 1.2603,                0.98368,                 1.8093,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.4219,                  1.067,                 1.9394,                0.92322,                0.86303,                0.94142,                 0.6034,                 1.2694,                 1.2609,                 1.8202,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4354,                 1.0643,                 1.9352,                0.91196,                  0.811,                0.91113,                0.60069,                  1.269,                 1.0599,                 1.8636,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3624,                 1.0266,                 1.8571,                0.90765,                0.87001,                0.95534,                0.66758,                 1.1002,                 0.9591,                 1.6839,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.363,                 1.0771,                 1.8242,                0.89029,                0.80622,                0.89241,                0.59558,                 1.2525,                  1.183,                 1.7977,               0.001307,               0.001307,               0.001307
                     38,                  1.336,                 1.0087,                 1.8241,                0.89201,                0.89713,                0.94358,                0.67373,                 1.0273,                 0.9437,                 1.6446,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3297,                 1.0183,                 1.8229,                0.87461,                0.79426,                0.89213,                0.50701,                 1.4764,                 1.0473,                 2.0437,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4059,                 1.0043,                  1.888,                0.93021,                0.89278,                0.94409,                0.67084,                 1.0786,                0.86405,                 1.6988,              0.0012476,              0.0012476,              0.0012476
